Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,79.16
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,84.32
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,88.19
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,90.25
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,92.19
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,98.47
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.76
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.47
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.84
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.75
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,68.22
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,68.1
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,75.94
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,78.13
