Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,14.54652
2001,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,14.06676
2002,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,13.59552
2003,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,13.12878
2004,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,26.64343
2005,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,25.68943
2006,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,24.76003
2007,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,36.36339
2008,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,36.49806
2009,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,35.1366
2010,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,33.80918
2011,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,32.51993
2012,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,34.68107
2013,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,36.42948
2014,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,37.57254
2015,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,36.24215
2016,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,60.02682
2017,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,80.85715
2018,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,99.45684
2019,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,106.48889
2020,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,113.05008
2021,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,109.51213
2022,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,114.09389
2023,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,None,W_PER_CAPITA,2025-03-11T00:00:00,2023,111.31291
2000,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2001,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2002,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2003,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2004,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2005,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2006,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2007,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2008,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2009,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2010,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2011,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2012,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2013,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,0.0
2014,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,1.87771
2015,A,0,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,EG_EGY_RNEW,24,TRT_BIOENERGY,W_PER_CAPITA,2025-03-11T00:00:00,2023,1.81122
